Pas de nom de joueur !,37.0
Pas de nom de joueur !,37.0
Pas de nom de joueur !,37.0
Pas de nom de joueur !,37.0
Pas de nom de joueur !,29.0
Pas de nom de joueur !,29.0
Pas de nom de joueur !,29.0
Pas de nom de joueur !,29.0
Pas de nom de joueur !,29.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,51.0
Pas de nom de joueur !,58.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,58.0
Pas de nom de joueur !,59.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,20.0
Pas de nom de joueur !,53.0
Pas de nom de joueur !,53.0
Pas de nom de joueur !,56.0
Pas de nom de joueur !,55.0
Pas de nom de joueur !,48.0
Pas de nom de joueur !,33.0
Pas de nom de joueur !,63.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,78.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,54.0
Pas de nom de joueur !,53.0
Pas de nom de joueur !,44.0
Pas de nom de joueur !,21.0
Pas de nom de joueur !,57.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,48.0
Pas de nom de joueur !,33.0
Pas de nom de joueur !,63.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,60.0
Pas de nom de joueur !,78.0
Pas de nom de joueur !,59.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,59.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,63.0
Pas de nom de joueur !,58.0
Pas de nom de joueur !,61.0
Pas de nom de joueur !,52.0
Pas de nom de joueur !,49.0
Pas de nom de joueur !,58.0
null,61.0
DefaultPlayer,61.0
DefaultPlayer,62.0
Jajou,60.0
Jajou,61.0
Jajou,60.0
Jajou,56.0
Jajou,56.0
Jajou,22.0
Jajou,62.0
Jajou,61.0
Jajou,74.0
Jajou,63.0
Jajou,66.0
Jajou,71.0
Jajou,71.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,57.0
Jajou,64.0
Jajou,84.0
DefaultPlayer,59.0
DefaultPlayer,56.0
DefaultPlayer,59.0
DefaultPlayer,57.0
DefaultPlayer,61.0
DefaultPlayer,56.0
DefaultPlayer,62.0
DefaultPlayer,55.0
DefaultPlayer,59.0
DefaultPlayer,54.0
DefaultPlayer,62.0
DefaultPlayer,52.0
DefaultPlayer,58.0
DefaultPlayer,50.0
DefaultPlayer,59.0
DefaultPlayer,52.0
DefaultPlayer,57.0
DefaultPlayer,54.0
Paul,62.0
DefaultPlayer,59.0
DefaultPlayer,55.0
DefaultPlayer,61.0
DefaultPlayer,51.0
DefaultPlayer,62.0
DefaultPlayer,56.0
Paul,60.0
DefaultPlayer,60.0
DefaultPlayer,51.0
DefaultPlayer,62.0
DefaultPlayer,57.0
DefaultPlayer,59.0
DefaultPlayer,55.0
Paul,63.0
Paul,63.0
Paul,63.0
Paul,63.0
Paul,63.0
Paul,60.0
Paul,49.0
Paul,21.0
Paul,32.0
Paul,61.0
DefaultPlayer,62.0
DefaultPlayer,26.0
DefaultPlayer,42.0
DefaultPlayer,55.0
Paul,26.0
DefaultPlayer,61.0
DefaultPlayer,34.0
